"unique_item_no","plots_with_labels","images","instructions","size_h","size_w","colour","masks_with_labels"
"174","all_plots/44_bar_LG_l_5_h_1.png","44_bar_LG_l_5_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask174.png"
"175","all_plots/44_line_HG_l_12_h_37.png","44_line_HG_l_12_h_37.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask175.png"
"176","all_plots/44_line_LG_l_5_h_1.png","44_line_LG_l_5_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask176.png"
"177","all_plots/45_bar_HG_l_10_h_37.png","45_bar_HG_l_10_h_37.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask177.png"
"178","all_plots/45_bar_LG_l_10_h_1.png","45_bar_LG_l_10_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask178.png"
"179","all_plots/45_line_HG_l_10_h_37.png","45_line_HG_l_10_h_37.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask179.png"
"180","all_plots/45_line_LG_l_10_h_1.png","45_line_LG_l_10_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask180.png"
"181","all_plots/1_bar_HG_l_27_h_18.png","1_bar_HG_l_27_h_18.png","1","0.75","Please IGNORE the plot displayed and type 100 in the box.","red","masks/mask181.png"
"182","all_plots/1_bar_LG_l_10_h_7.png","1_bar_LG_l_10_h_7.png","1","0.75","Please IGNORE the plot displayed and type 100 in the box.","red","masks/mask182.png"
"183","all_plots/1_line_HG_l_27_h_18.png","1_line_HG_l_27_h_18.png","1","0.75","Please IGNORE the plot displayed and type 100 in the box.","red","masks/mask183.png"
"184","all_plots/1_line_LG_l_10_h_7.png","1_line_LG_l_10_h_7.png","1","0.75","Please IGNORE the plot displayed and and type 0 in the box","red","masks/mask184.png"
"185","all_plots/2_bar_HG_l_31_h_17.png","2_bar_HG_l_31_h_17.png","1","0.75","Please IGNORE the plot displayed and and type 0 in the box","red","masks/mask185.png"
"186","all_plots/2_bar_LG_l_7_h_5.png","2_bar_LG_l_7_h_5.png","1","0.75","Please IGNORE the plot displayed and and type 0 in the box","red","masks/mask186.png"
